Id,Policy Number,Cd Balance Group,Fresh,Premium,Total Amount,Name,Tpa,Company,Company Branch,Sum Insured,Contact Number,Policy Type,Sub Policy Type,Noneb Sub Category,Start Date,End Date,Status,Push,Policy Copy,Policy Copy Url,Pushed By
1,P/141129/01/2025/000015,None,Renewal,7436516,8775088.88,Encora Softech Pune ESC,None,None,None,357500000,9620411141,None,None,None,2024-07-27,2025-07-26,Active,Manual,policy_copy/Encora_Softech_GMC_ESC_Policy_09.08.2024_Pune.pdf,None,Vishal
2,P/141129/01/2025/000014,None,Renewal,4428697,5225862.46,Encora Software Hyderabad ESC,None,None,None,192000000,9620411141,None,None,None,2024-07-27,2025-07-26,Active,Manual,policy_copy/Encora_Sofware_GMC_ESC_Policy_09.08.2024_Hyderabad.pdf,None,Vishal
3,4016/X/310940546/01/000,None,Renewal,480000,566400.0,Alethe Consulting Pvt Ltd,None,None,None,26400000,9620411141,None,None,None,2024-10-10,2025-10-09,Active,Manual,policy_copy/4016X31094054601000-Alethe-GMC_K6eLlvf.pdf,None,System
4,421100/48/2026/21,None,Renewal,5353915.00,6317619.7,Indecomm Business Services (India) Pvt Ltd,None,None,None,86800000,9738611142,None,None,None,2025-04-01,2026-03-31,Active,Manual,policy_copy/IBS_GMC_Policy-2025-2026.pdf,None,Veena
5,421200/48/2026/543,None,Renewal,1930000,2277400.0,United Way Of Bengaluru,None,None,None,42400000,9620411141,None,None,None,2025-04-17,2026-04-16,Active,Manual,policy_copy/UWB_Policy_Schedule_hqNRtwu.pdf,None,System
6,421200/48/2025/519,None,Renewal,3512220,None,United Way Of Bengaluru,None,None,None,54400000,9620411141,None,None,None,2024-04-17,2025-04-16,Expired,Manual,policy_copy/UNITED_WAY_OF_BENGALURU-GMC_POLICY-2024-2025.pdf,None,System
7,421100/48/2026/27,None,Renewal,1550000,1829000.0,Centillion Solutions & Services Private Limited,None,None,None,32200000,9738611142,None,None,None,2025-04-01,2026-03-31,Active,Manual,policy_copy/CENTILLION_GMC_2-25-26-2026-27.pdf,None,Veena
8,4016/X/319804076/01/000,None,Renewal,1020230,1203871.4,Century Club,None,None,None,13000000,9620411141,None,None,None,2024-11-09,2025-11-28,Active,Manual,policy_copy/Century_Club_GHI_Policy_Fy_24-25.pdf,None,System
9,421100/48/2026/34,None,Renewal,742857,876571.26,Centillion Solutions & Services Pvt Ltd (ESI policy),None,None,None,21250000,9738611142,None,None,None,2025-04-01,2026-03-31,Active,Manual,policy_copy/GMC_for_ESI_limit_employees-2025-26.pdf,None,Veena
10,P/141129/01/2025/000017,None,Renewal,5965534,7039330.12,Encora Softech Pune Parents,None,None,None,88000000,9620411141,None,None,None,2024-07-27,2025-07-26,Active,Manual,policy_copy/Encora_Softech_Parents_GMC_Policy_09.08.2024_Pune.pdf,None,System
11,P/141129/01/2025/000016,None,Renewal,3080895,3635456.1,Encora Software Hyderabad Parents,None,None,None,48500000,9620411141,None,None,None,2024-07-27,2025-07-26,Active,Manual,policy_copy/Encora_Softech_Parents_GMC_Policy_09_SvdEYi9.08.2024_Pune.pdf,None,System
12,421100/48/2026/45,None,Renewal,1397075,1648548.5,Milos Automation (India) Private Limited,None,None,None,33500000,9738611142,None,None,None,2025-04-01,2026-03-31,Active,Manual,policy_copy/MILOS_-_GMC_2025-26.pdf,None,Veena
13,2-81-24-0001305-000,None,Renewal,220858,260612.44,Expligence Technologies Pvt Ltd,None,None,None,6300000,9620411141,None,None,None,2024-07-24,2025-07-23,Active,Manual,policy_copy/Expligence_Policy_Copy.pdf,None,System
14,4211-500201-24-7001067-00-000,None,Fresh,2899999,3421998.82,M/S Akshara Motors Private Limited,None,None,None,51300000,9738611142,None,None,None,2024-09-07,2025-07-08,Active,Manual,policy_copy/Akshara_Motors_Private__GMC.pdf,None,Veena
15,2-81-24-0001508-000,None,Fresh,1488000,1755840.0,GM INSIGHTS SOLUTIONS PRIVATE LIMITED,None,None,None,30600000,9620411141,None,None,None,2024-08-13,2025-08-12,Active,Manual,policy_copy/GMC_Policy_Copy-GM_Insights.pdf,None,System
16,4211-500201-24-7001066-00-000,None,Fresh,4241812,5005338.16,M/S Cauvery Motors Private Limited,None,None,None,109300000,9738611142,None,None,None,2026-07-09,2025-07-08,Active,Manual,policy_copy/Cauvery_Motors_Private_Limited_GMC.pdf,None,Veena
17,GMC0000318000100,None,Renewal,1014579,1197203.22,Probuddy Software Sollutions Pvt Ltd,None,None,None,40500000,9620411141,None,None,None,2025-01-03,2026-01-02,Active,Manual,policy_copy/ProBuddy_Policy_Copy25-26.pdf,None,System
18,4016/X/O/347986815/00/000,None,Renewal,1037298,1224011.64,Carewel Facilities India Private Limited,None,None,None,38700000,9738611142,None,None,None,2024-07-10,2025-06-09,Expired,Manual,policy_copy/Carewell_GMC_Policy.pdf,None,Veena
19,2-81-25-00004007-000,None,Renewal,126199,148914.82,PROGREC APPS PRIVATE LIMITED,None,None,None,9000000,9620411141,None,None,None,2025-01-03,2026-01-02,Active,Manual,policy_copy/2-81-25-00004007-000.pdf,None,System
20,2-81-24-0001303-000,None,Fresh,418320,493617.6,Discovery Village LLP,None,None,None,30500000,9738611142,None,None,None,2024-07-20,2025-07-19,Active,Manual,policy_copy/Discovery_Village__Policy.pdf,None,Veena
21,2-81-25-00003968-000,None,Fresh,99952,117943.36,Trident Machinery Corporation,None,None,None,5000000,9738611142,None,None,None,2025-01-01,2025-12-31,Active,Manual,policy_copy/Trident_Machinerys_GMC.pdf,None,Veena
22,0239859738,None,Fresh,625000,737500.0,Rashtreeya Sikshana Samithi Trust(RVCE-Hostel-Students-Staff-Staff Depedents),None,None,None,175600000,9738611142,None,None,None,2025-02-22,2026-02-21,Active,Manual,policy_copy/1._RSST-_RVCE_HOSTEL-STUDENTS-STAFF-STAFF_DEPEDENTS-GMC_POLICY-2025-2026.pdf,None,Veena
23,2-81-25-00004901-000,None,Fresh,118000,139240.0,Brigade Gateway Apartment Owners Association,None,None,None,5600000,9738611142,None,None,None,2025-02-25,2026-02-24,Active,Manual,policy_copy/BRIGADE_GATEWAY_APARTMENT_OWNERS_ASSOCIATION_policy.pdf,None,Veena
24,4211-500201-25-7001137-00-000,None,Fresh,627300,740214.0,Penguin Petroleum Services Private Limited,None,None,None,28500000,9738611142,None,None,None,2025-04-01,2026-03-31,Active,Manual,policy_copy/Penguin_Petroleum_Services_Private_Limited_4211-500201-25-7001137-00-000_POLICYCOPY.pdf,None,Veena
